cluster,city,goodsan,goodwat,radio,tv,sumasset,lisradio,gradef,pregnant,curuse,curmeth,fpmess,partner,idealnum,gradep,agef,addesir,hofp5,hcfp5,difp5,notpreg
160,1,0,1,1,0,1,1,0,0,0,3,1,1,10,12,46,7,1,0,1,1
80,0,0,1,1,0,1,1,7,0,0,3,1,1,4,7,20,3,1,0,0,1
80,0,0,1,1,0,1,1,4,0,0,3,1,1,6,8,40,5,1,0,0,1
64,0,0,1,1,0,2,1,0,0,0,3,1,1,7,4,35,3,1,0,1,1
35,1,0,1,1,0,2,1,7,0,1,1,1,1,4,7,19,3,0,0,1,1
219,0,0,0,0,0,1,0,0,0,0,3,0,1,12,7,43,6,0,1,0,1
238,0,0,0,1,0,3,1,4,0,1,2,1,1,6,8,48,-5,1,0,1,1
238,0,0,1,1,0,2,1,7,0,0,3,0,0,5,0,17,4,1,0,1,1
114,1,0,1,0,0,0,1,0,0,0,3,1,0,4,0,47,-5,0,1,0,1
80,0,0,1,1,0,1,1,4,0,0,3,1,1,5,6,32,3,1,0,0,1
82,0,0,0,0,0,1,1,7,0,0,3,1,0,6,0,17,6,0,0,1,1
126,0,0,0,0,0,0,1,7,0,0,3,0,1,4,4,30,,0,0,0,1
105,1,0,1,1,0,1,1,7,0,0,3,1,1,4,14,30,1,0,0,0,1
126,0,0,1,0,0,0,0,7,0,0,3,0,0,3,0,23,3,0,0,0,1
19,0,0,1,1,0,1,1,12,0,0,3,1,0,5,0,20,5,0,0,1,1
34,1,0,1,1,0,1,1,0,0,0,3,0,1,4,7,40,-2,1,0,0,1
282,0,0,1,1,0,2,1,7,0,0,3,0,0,3,0,15,3,1,0,0,1
96,1,0,1,1,0,1,1,7,0,1,2,1,1,3,7,21,1,1,0,1,1
253,1,0,0,1,0,1,1,7,0,1,2,1,1,8,7,28,4,0,0,0,1
238,0,1,1,1,0,2,1,7,0,1,1,1,1,4,14,27,3,1,0,1,1
313,0,0,1,1,0,2,1,7,0,0,3,1,1,4,4,27,3,0,0,1,1
105,1,0,1,1,0,1,1,7,0,0,3,0,0,4,0,17,4,0,0,0,1
299,1,0,1,0,0,0,1,7,0,0,3,1,1,3,12,23,1,1,0,1,1
106,1,0,1,0,0,0,0,7,0,0,3,1,1,3,8,26,2,1,0,1,1
251,0,0,0,1,0,1,1,7,0,0,3,1,1,6,7,31,1,1,0,0,1
67,1,0,1,1,0,1,1,12,0,1,2,1,1,2,12,29,1,1,1,1,1
144,1,0,0,0,0,0,1,0,0,0,3,0,0,8,0,17,8,1,0,0,1
190,1,0,1,1,0,1,1,7,0,0,3,0,1,,12,20,,0,0,0,1
236,0,0,1,1,0,2,1,7,1,,3,1,1,4,11,19,4,1,0,0,0
118,1,0,1,1,0,1,1,0,0,0,3,0,1,,,28,,0,1,0,1
82,0,0,0,1,0,2,1,9,0,0,3,0,0,4,0,16,4,0,0,1,1
297,0,0,0,1,0,1,1,7,0,0,3,0,0,3,0,26,2,0,1,1,1
66,1,0,1,1,0,1,1,4,0,0,3,1,1,10,7,38,6,1,1,1,1
235,0,0,1,1,0,1,1,10,0,1,2,1,0,3,0,17,3,1,0,0,1
32,0,0,1,1,0,1,1,2,1,,3,1,1,5,7,30,1,0,0,1,0
111,,0,1,0,0,0,1,0,,0,3,1,0,5,0,45,3,1,0,0,0
297,0,0,0,0,0,0,0,7,0,0,3,1,1,,7,19,,0,1,1,1
114,1,0,1,1,0,2,1,7,0,1,1,1,0,6,0,34,0,0,1,0,1
66,1,0,1,0,0,0,1,7,0,0,3,0,0,4,0,19,3,1,1,1,1
299,1,0,1,0,0,0,1,7,0,0,3,1,1,8,7,35,0,1,0,1,1
112,1,0,1,0,0,0,1,7,0,0,3,0,0,3,0,21,3,0,0,0,1
297,0,0,0,0,0,0,1,7,0,0,3,1,0,7,0,30,4,0,1,1,1
1,1,0,1,0,0,0,0,4,0,0,3,0,1,6,7,28,1,1,0,0,1
238,0,0,1,1,0,2,1,7,0,0,3,0,0,6,0,17,6,1,0,1,1
96,1,0,1,1,0,2,1,7,1,,3,1,0,3,0,17,3,1,0,1,0
